P_Key,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths
42744,OWID_WRL,,World,01/07/2020,10437435,192120,176416.571,507748
42745,OWID_WRL,,World,02/07/2020,10637769,200334,180040,512592
42746,OWID_WRL,,World,03/07/2020,10846395,208626,184304,517666
42747,OWID_WRL,,World,04/07/2020,11051889,205494,186717.429,522679
42748,OWID_WRL,,World,05/07/2020,11242913,191024,188005,527017
42749,OWID_WRL,,World,06/07/2020,11421281,178368,190585.286,530394
42750,OWID_WRL,,World,07/07/2020,11595546,174265,192890.143,534238
42751,OWID_WRL,,World,08/07/2020,11802526,206980,195013,540232
42752,OWID_WRL,,World,09/07/2020,12018019,215493,197178.571,545510
42753,OWID_WRL,,World,10/07/2020,12243169,225150,199539.143,550891
42754,OWID_WRL,,World,11/07/2020,12474565,231396,203239.429,556170
42755,OWID_WRL,,World,12/07/2020,12692540,217975,207089.571,560965
42756,OWID_WRL,,World,13/07/2020,12888220,195680,209562.714,564851
42757,OWID_WRL,,World,14/07/2020,13076649,188429,211586.143,568695
42758,OWID_WRL,,World,15/07/2020,13300395,223746,213981.286,574275
42759,OWID_WRL,,World,16/07/2020,13532060,231665,216291.571,579776
42760,OWID_WRL,,World,17/07/2020,13786486,254426,220473.857,585518
42761,OWID_WRL,,World,18/07/2020,14040768,254282,223743.286,592876
42762,OWID_WRL,,World,19/07/2020,14270869,230101,225475.571,597823
42763,OWID_WRL,,World,20/07/2020,14480689,209820,227495.571,601665
42764,OWID_WRL,,World,21/07/2020,14681155,200466,229215.143,605757
42765,OWID_WRL,,World,22/07/2020,14921348,240193,231564.714,611881
42766,OWID_WRL,,World,23/07/2020,15202867,281519,238686.714,618758
42767,OWID_WRL,,World,24/07/2020,15479215,276348,241818.429,628540
42768,OWID_WRL,,World,25/07/2020,15762859,283644,246013,634792
42769,OWID_WRL,,World,26/07/2020,16022442,259583,250224.714,640526
42770,OWID_WRL,,World,27/07/2020,16254711,232269,253431.714,644491
42771,OWID_WRL,,World,28/07/2020,16466708,211997,255079,649144
42772,OWID_WRL,,World,29/07/2020,16710528,243820,255597.143,655307
42773,OWID_WRL,,World,30/07/2020,17008571,298043,257957.714,661948
42774,OWID_WRL,,World,31/07/2020,17299051,290480,259976.571,668332
