P_Key,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths
1,AFG,Asia,Afghanistan,31/12/2019,0,0,,0
2,AFG,Asia,Afghanistan,01/01/2020,0,0,,0
3,AFG,Asia,Afghanistan,02/01/2020,0,0,,0
4,AFG,Asia,Afghanistan,03/01/2020,0,0,,0
5,AFG,Asia,Afghanistan,04/01/2020,0,0,,0
6,AFG,Asia,Afghanistan,05/01/2020,0,0,,0
7,AFG,Asia,Afghanistan,06/01/2020,0,0,0,0
8,AFG,Asia,Afghanistan,07/01/2020,0,0,0,0
9,AFG,Asia,Afghanistan,08/01/2020,0,0,0,0
10,AFG,Asia,Afghanistan,09/01/2020,0,0,0,0
11,AFG,Asia,Afghanistan,10/01/2020,0,0,0,0
12,AFG,Asia,Afghanistan,11/01/2020,0,0,0,0
13,AFG,Asia,Afghanistan,12/01/2020,0,0,0,0
14,AFG,Asia,Afghanistan,13/01/2020,0,0,0,0
15,AFG,Asia,Afghanistan,14/01/2020,0,0,0,0
16,AFG,Asia,Afghanistan,15/01/2020,0,0,0,0
17,AFG,Asia,Afghanistan,16/01/2020,0,0,0,0
18,AFG,Asia,Afghanistan,17/01/2020,0,0,0,0
19,AFG,Asia,Afghanistan,18/01/2020,0,0,0,0
20,AFG,Asia,Afghanistan,19/01/2020,0,0,0,0
21,AFG,Asia,Afghanistan,20/01/2020,0,0,0,0
22,AFG,Asia,Afghanistan,21/01/2020,0,0,0,0
23,AFG,Asia,Afghanistan,22/01/2020,0,0,0,0
24,AFG,Asia,Afghanistan,23/01/2020,0,0,0,0
25,AFG,Asia,Afghanistan,24/01/2020,0,0,0,0
26,AFG,Asia,Afghanistan,25/01/2020,0,0,0,0
27,AFG,Asia,Afghanistan,26/01/2020,0,0,0,0
28,AFG,Asia,Afghanistan,27/01/2020,0,0,0,0
29,AFG,Asia,Afghanistan,28/01/2020,0,0,0,0
30,AFG,Asia,Afghanistan,29/01/2020,0,0,0,0
31,AFG,Asia,Afghanistan,30/01/2020,0,0,0,0
32,AFG,Asia,Afghanistan,31/01/2020,0,0,0,0
33,AFG,Asia,Afghanistan,01/02/2020,0,0,0,0
34,AFG,Asia,Afghanistan,02/02/2020,0,0,0,0
35,AFG,Asia,Afghanistan,03/02/2020,0,0,0,0
36,AFG,Asia,Afghanistan,04/02/2020,0,0,0,0
37,AFG,Asia,Afghanistan,05/02/2020,0,0,0,0
38,AFG,Asia,Afghanistan,06/02/2020,0,0,0,0
39,AFG,Asia,Afghanistan,07/02/2020,0,0,0,0
40,AFG,Asia,Afghanistan,08/02/2020,0,0,0,0
41,AFG,Asia,Afghanistan,09/02/2020,0,0,0,0
42,AFG,Asia,Afghanistan,10/02/2020,0,0,0,0
43,AFG,Asia,Afghanistan,11/02/2020,0,0,0,0
44,AFG,Asia,Afghanistan,12/02/2020,0,0,0,0
45,AFG,Asia,Afghanistan,13/02/2020,0,0,0,0
46,AFG,Asia,Afghanistan,14/02/2020,0,0,0,0
47,AFG,Asia,Afghanistan,15/02/2020,0,0,0,0
48,AFG,Asia,Afghanistan,16/02/2020,0,0,0,0
49,AFG,Asia,Afghanistan,17/02/2020,0,0,0,0
50,AFG,Asia,Afghanistan,18/02/2020,0,0,0,0
51,AFG,Asia,Afghanistan,19/02/2020,0,0,0,0
52,AFG,Asia,Afghanistan,20/02/2020,0,0,0,0
53,AFG,Asia,Afghanistan,21/02/2020,0,0,0,0
54,AFG,Asia,Afghanistan,22/02/2020,0,0,0,0
55,AFG,Asia,Afghanistan,23/02/2020,0,0,0,0
56,AFG,Asia,Afghanistan,24/02/2020,0,0,0,0
57,AFG,Asia,Afghanistan,25/02/2020,1,1,0.143,0
58,AFG,Asia,Afghanistan,26/02/2020,1,0,0.143,0
59,AFG,Asia,Afghanistan,27/02/2020,1,0,0.143,0
60,AFG,Asia,Afghanistan,28/02/2020,1,0,0.143,0
61,AFG,Asia,Afghanistan,29/02/2020,1,0,0.143,0
62,AFG,Asia,Afghanistan,01/03/2020,1,0,0.143,0
63,AFG,Asia,Afghanistan,02/03/2020,1,0,0.143,0
64,AFG,Asia,Afghanistan,03/03/2020,,,0,
65,AFG,Asia,Afghanistan,04/03/2020,,,0,
66,AFG,Asia,Afghanistan,05/03/2020,,,0,
67,AFG,Asia,Afghanistan,06/03/2020,,,0,
68,AFG,Asia,Afghanistan,07/03/2020,,,0,
69,AFG,Asia,Afghanistan,08/03/2020,4,3,0.429,0
70,AFG,Asia,Afghanistan,09/03/2020,,,0.429,
71,AFG,Asia,Afghanistan,10/03/2020,,,0.429,
72,AFG,Asia,Afghanistan,11/03/2020,7,3,0.857,0
73,AFG,Asia,Afghanistan,12/03/2020,,,0.857,
74,AFG,Asia,Afghanistan,13/03/2020,,,0.857,
75,AFG,Asia,Afghanistan,14/03/2020,,,0.857,
76,AFG,Asia,Afghanistan,15/03/2020,10,3,0.857,0
77,AFG,Asia,Afghanistan,16/03/2020,16,6,1.714,0
78,AFG,Asia,Afghanistan,17/03/2020,21,5,2.429,0
79,AFG,Asia,Afghanistan,18/03/2020,22,1,2.143,0
80,AFG,Asia,Afghanistan,19/03/2020,22,0,2.143,0
81,AFG,Asia,Afghanistan,20/03/2020,22,0,2.143,0
82,AFG,Asia,Afghanistan,21/03/2020,24,2,2.429,0
83,AFG,Asia,Afghanistan,22/03/2020,24,0,2,0
84,AFG,Asia,Afghanistan,23/03/2020,34,10,2.571,0
85,AFG,Asia,Afghanistan,24/03/2020,40,6,2.714,1
86,AFG,Asia,Afghanistan,25/03/2020,42,2,2.857,1
87,AFG,Asia,Afghanistan,26/03/2020,75,33,7.571,1
88,AFG,Asia,Afghanistan,27/03/2020,75,0,7.571,1
89,AFG,Asia,Afghanistan,28/03/2020,91,16,9.571,2
90,AFG,Asia,Afghanistan,29/03/2020,106,15,11.714,3
91,AFG,Asia,Afghanistan,30/03/2020,114,8,11.429,4
92,AFG,Asia,Afghanistan,31/03/2020,141,27,14.429,4
93,AFG,Asia,Afghanistan,01/04/2020,166,25,17.714,4
94,AFG,Asia,Afghanistan,02/04/2020,192,26,16.714,4
95,AFG,Asia,Afghanistan,03/04/2020,235,43,22.857,4
96,AFG,Asia,Afghanistan,04/04/2020,235,0,20.571,4
97,AFG,Asia,Afghanistan,05/04/2020,270,35,23.429,5
98,AFG,Asia,Afghanistan,06/04/2020,299,29,26.429,7
99,AFG,Asia,Afghanistan,07/04/2020,337,38,28,7
100,AFG,Asia,Afghanistan,08/04/2020,367,30,28.714,11
101,AFG,Asia,Afghanistan,09/04/2020,423,56,33,14
102,AFG,Asia,Afghanistan,10/04/2020,484,61,35.571,15
103,AFG,Asia,Afghanistan,11/04/2020,521,37,40.857,15
104,AFG,Asia,Afghanistan,12/04/2020,555,34,40.714,18
105,AFG,Asia,Afghanistan,13/04/2020,607,52,44,18
106,AFG,Asia,Afghanistan,14/04/2020,665,58,46.857,21
107,AFG,Asia,Afghanistan,15/04/2020,714,49,49.571,23
108,AFG,Asia,Afghanistan,16/04/2020,784,70,51.571,25
109,AFG,Asia,Afghanistan,17/04/2020,794,10,44.286,29
110,AFG,Asia,Afghanistan,18/04/2020,845,51,46.286,30
111,AFG,Asia,Afghanistan,19/04/2020,908,63,50.429,30
112,AFG,Asia,Afghanistan,20/04/2020,996,88,55.571,33
113,AFG,Asia,Afghanistan,21/04/2020,1031,35,52.286,35
114,AFG,Asia,Afghanistan,22/04/2020,1092,61,54,36
115,AFG,Asia,Afghanistan,23/04/2020,1176,84,56,40
116,AFG,Asia,Afghanistan,24/04/2020,1281,105,69.571,42
117,AFG,Asia,Afghanistan,25/04/2020,1351,70,72.286,43
118,AFG,Asia,Afghanistan,26/04/2020,1463,112,79.286,47
119,AFG,Asia,Afghanistan,27/04/2020,1531,68,76.429,57
120,AFG,Asia,Afghanistan,28/04/2020,1703,172,96,57
121,AFG,Asia,Afghanistan,29/04/2020,1827,124,105,60
122,AFG,Asia,Afghanistan,30/04/2020,1949,122,110.429,60
123,AFG,Asia,Afghanistan,01/05/2020,2171,222,127.143,64
124,AFG,Asia,Afghanistan,02/05/2020,2335,164,140.571,68
125,AFG,Asia,Afghanistan,03/05/2020,2469,134,143.714,72
126,AFG,Asia,Afghanistan,04/05/2020,2704,235,167.571,85
127,AFG,Asia,Afghanistan,05/05/2020,2894,190,170.143,90
128,AFG,Asia,Afghanistan,06/05/2020,3224,330,199.571,95
129,AFG,Asia,Afghanistan,07/05/2020,3392,168,206.143,104
130,AFG,Asia,Afghanistan,08/05/2020,3563,171,198.857,106
131,AFG,Asia,Afghanistan,09/05/2020,3778,215,206.143,109
132,AFG,Asia,Afghanistan,10/05/2020,4033,255,223.429,115
133,AFG,Asia,Afghanistan,11/05/2020,4402,369,242.571,120
134,AFG,Asia,Afghanistan,12/05/2020,4687,285,256.143,122
135,AFG,Asia,Afghanistan,13/05/2020,4967,280,249,127
136,AFG,Asia,Afghanistan,14/05/2020,5226,259,262,130
137,AFG,Asia,Afghanistan,15/05/2020,5339,113,253.714,136
138,AFG,Asia,Afghanistan,16/05/2020,6402,1063,374.857,168
