P_Key,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths
42775,OWID_WRL,,World,01/08/2020,17577744,278693,259269.286,674454
42776,OWID_WRL,,World,02/08/2020,17845436,267692,260427.714,680216
42777,OWID_WRL,,World,03/08/2020,18069375,223939,259237.714,684445
42778,OWID_WRL,,World,04/08/2020,18274058,204683,258192.857,688673
42779,OWID_WRL,,World,05/08/2020,18529687,255629,259879.857,695403
42780,OWID_WRL,,World,06/08/2020,18807321,277634,256964.286,702502
42781,OWID_WRL,,World,07/08/2020,19093269,285948,256316.857,709399
42782,OWID_WRL,,World,08/08/2020,19368708,275439,255852,715863
42783,OWID_WRL,,World,09/08/2020,19637226,268518,255970,721500
42784,OWID_WRL,,World,10/08/2020,19867366,230140,256855.857,726330
42785,OWID_WRL,,World,11/08/2020,20087002,219636,258992,731149
42786,OWID_WRL,,World,12/08/2020,20348386,261384,259814.143,737284
42787,OWID_WRL,,World,13/08/2020,20637776,289390,261493.571,744185
42788,OWID_WRL,,World,14/08/2020,20924380,286604,261587.286,754095
42789,OWID_WRL,,World,15/08/2020,21212906,288526,263456.857,760332
42790,OWID_WRL,,World,16/08/2020,21472504,259598,262182.571,765987
42791,OWID_WRL,,World,17/08/2020,21705426,232922,262580,770220
42792,OWID_WRL,,World,18/08/2020,21901969,196543,259281,774494
42793,OWID_WRL,,World,19/08/2020,22156871,254902,258355,781183
42794,OWID_WRL,,World,20/08/2020,22438347,281476,257224.429,787723
42795,OWID_WRL,,World,21/08/2020,22714585,276238,255743.571,794075
42796,OWID_WRL,,World,22/08/2020,22967508,252923,250657.429,799947
42797,OWID_WRL,,World,23/08/2020,23234176,266668,251667.429,805587
42798,OWID_WRL,,World,24/08/2020,23459020,224844,250513.429,808899
42799,OWID_WRL,,World,25/08/2020,23670386,211366,252631,813176
42800,OWID_WRL,,World,26/08/2020,23925455,255069,252654.857,819652
42801,OWID_WRL,,World,27/08/2020,24202125,276670,251968.286,825945
42802,OWID_WRL,,World,28/08/2020,24485604,283479,253002.714,832027
42803,OWID_WRL,,World,29/08/2020,24761764,276160,256322.286,837486
42804,OWID_WRL,,World,30/08/2020,25030690,268926,256644.857,843178
42805,OWID_WRL,,World,31/08/2020,25276424,245734,259629.143,846952
