P_Key,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths
42806,OWID_WRL,,World,01/09/2020,25518870,242446,264069.143,851004
42807,OWID_WRL,,World,02/09/2020,25787415,268545,265994.286,857513
42808,OWID_WRL,,World,03/09/2020,26070638,283223,266930.429,863592
42809,OWID_WRL,,World,04/09/2020,26349449,278811,266263.571,869380
42810,OWID_WRL,,World,05/09/2020,26642341,292892,268653.857,874964
42811,OWID_WRL,,World,06/09/2020,26921706,279365,270145.143,880328
42812,OWID_WRL,,World,07/09/2020,27170996,249290,270653.143,889360
42813,OWID_WRL,,World,08/09/2020,27377431,206435,265508.714,893181
42814,OWID_WRL,,World,09/09/2020,27621035,243604,261945.714,898144
42815,OWID_WRL,,World,10/09/2020,27902750,281715,261730.286,904078
42816,OWID_WRL,,World,11/09/2020,28199791,297041,264334.571,910078
