Date_Full,Station_City,Station_State,Data_Temperature_Avg Temp,Data_Temperature_Max Temp,Data_Temperature_Min Temp
03/01/2016,Birmingham,Alabama,39,46,32
03/01/2016,Huntsville,Alabama,39,47,31
03/01/2016,Mobile,Alabama,46,51,41
03/01/2016,Montgomery,Alabama,45,52,38
03/01/2016,Anchorage,Alaska,34,38,29
03/01/2016,Annette,Alaska,38,44,31
03/01/2016,Bethel,Alaska,30,36,24
03/01/2016,Bettles,Alaska,22,32,9
03/01/2016,Cold Bay,Alaska,34,36,31
03/01/2016,Cordova,Alaska,38,43,33
03/01/2016,Delta Junction/Ft Greely,Alaska,31,39,23
03/01/2016,Fairbanks,Alaska,14,30,4
03/01/2016,Gulkana,Alaska,27,34,19
03/01/2016,Homer,Alaska,39,42,35
03/01/2016,Iliamna,Alaska,40,42,37
03/01/2016,Juneau,Alaska,36,40,31
03/01/2016,Kenai,Alaska,34,37,30
03/01/2016,Ketchikan,Alaska,37,41,33
03/01/2016,King Salmon,Alaska,39,42,35
03/01/2016,Kodiak,Alaska,40,42,36
03/01/2016,Kotzebue,Alaska,27,33,20
03/01/2016,Mc Grath,Alaska,30,39,20
03/01/2016,Nome,Alaska,29,32,25
03/01/2016,Northway,Alaska,0,8,-9
03/01/2016,Palmer,Alaska,37,42,32
03/01/2016,Petersburg,Alaska,60,60,60
03/01/2016,Puntilla Lake,Alaska,60,60,60
03/01/2016,Shemya,Alaska,60,60,60
03/01/2016,Sitka,Alaska,43,46,39
03/01/2016,Skagway,Alaska,38,42,33
03/01/2016,St Paul Island,Alaska,32,35,29
03/01/2016,Talkeetna,Alaska,32,39,23
03/01/2016,Tanana,Alaska,21,29,13
03/01/2016,Utqiagvik (Barrow),Alaska,6,9,2
03/01/2016,Yakutat,Alaska,36,40,32
03/01/2016,Douglas Bisbee,Arizona,41,57,24
03/01/2016,Kingman,Arizona,40,54,25
03/01/2016,Phoenix,Arizona,58,69,45
03/01/2016,Tucson,Arizona,56,69,43
03/01/2016,Winslow,Arizona,29,42,15
03/01/2016,Fort Smith,Arkansas,39,51,27
03/01/2016,Harrison,Arkansas,38,48,27
03/01/2016,North Little Rock,Arkansas,42,49,34
03/01/2016,Bakersfield,California,47,60,33
03/01/2016,Bishop,California,27,42,12
03/01/2016,China Lake,California,35,49,21
03/01/2016,Concord,California,44,51,37
03/01/2016,Eureka,California,44,53,33
03/01/2016,Fresno,California,46,55,36
03/01/2016,Hayward,California,47,53,41
03/01/2016,Long Beach,California,54,65,43
03/01/2016,Los Angeles,California,55,63,45
03/01/2016,Red Bluff,California,44,50,36
03/01/2016,Redding,California,45,51,38
03/01/2016,Sacramento,California,44,52,34
03/01/2016,Salinas,California,49,57,41
03/01/2016,San Diego,California,55,64,45
03/01/2016,San Francisco,California,46,51,41
03/01/2016,Sandberg,California,39,44,33
03/01/2016,Santa Barbara,California,51,62,39
03/01/2016,Santa Maria,California,51,63,37
03/01/2016,Stockton,California,42,51,33
03/01/2016,Alamosa,Colorado,14,33,-5
03/01/2016,Colorado Springs,Colorado,28,45,9
03/01/2016,Craig,Colorado,-10,3,-23
03/01/2016,Denver,Colorado,27,40,12
03/01/2016,Grand Junction,Colorado,14,24,4
03/01/2016,Pueblo,Colorado,26,47,4
03/01/2016,Bridgeport,Connecticut,38,43,32
03/01/2016,Windsor Locks,Connecticut,34,40,27
03/01/2016,Newark,DE,37,46,27
03/01/2016,Wilmington,Delaware,37,46,27
03/01/2016,Daytona Beach,Florida,63,68,58
03/01/2016,Fort Lauderdale,Florida,76,82,70
03/01/2016,Gainesville,Florida,56,62,51
03/01/2016,Jacksonville,Florida,56,61,50
03/01/2016,Key West,Florida,79,82,74
03/01/2016,Miami,Florida,76,82,70
03/01/2016,Orlando,Florida,65,72,57
03/01/2016,Pensacola,Florida,48,52,44
03/01/2016,Tallahassee,Florida,53,57,48
03/01/2016,Tampa,Florida,66,71,59
03/01/2016,Vero Beach,Florida,69,74,62
03/01/2016,West Palm Beach,Florida,74,80,67
03/01/2016,Alma,Georgia,51,58,47
03/01/2016,Athens,Georgia,45,54,36
03/01/2016,Atlanta,Georgia,42,48,36
03/01/2016,Augusta,Georgia,48,56,41
03/01/2016,Macon,Georgia,47,53,40
03/01/2016,Savannah,Georgia,56,62,49
03/01/2016,Hilo,Hawaii,73,81,65
03/01/2016,Honolulu,Hawaii,73,81,64
03/01/2016,Kahului,Hawaii,71,80,60
03/01/2016,Kaunakakai,Hawaii,72,79,64
03/01/2016,Lihue,Hawaii,70,79,60
03/01/2016,Boise,Idaho,15,23,7
03/01/2016,Lewiston,Idaho,21,29,12
03/01/2016,Pocatello,Idaho,8,21,-4
03/01/2016,Chicago,Illinois,25,30,20
03/01/2016,Moline,Illinois,25,31,19
03/01/2016,Peoria,Illinois,29,35,22
03/01/2016,Quincy,Illinois,29,35,22
03/01/2016,Rockford,Illinois,24,30,18
03/01/2016,Springfield,Illinois,31,37,24
03/01/2016,Evansville,Indiana,35,43,27
03/01/2016,Fort Wayne,Indiana,29,31,25
03/01/2016,Indianapolis,Indiana,29,34,24
03/01/2016,South Bend,Indiana,27,30,23
03/01/2016,Cedar Rapids,Iowa,22,28,15
03/01/2016,Des Moines,Iowa,24,32,16
03/01/2016,Dubuque,Iowa,21,27,14
03/01/2016,Sioux City,Iowa,21,31,11
03/01/2016,Waterloo,Iowa,22,29,13
03/01/2016,Concordia,Kansas,31,43,18
03/01/2016,Dodge City,Kansas,31,46,16
03/01/2016,Goodland,Kansas,30,46,13
03/01/2016,Medicine Lodge,Kansas,34,49,19
03/01/2016,Topeka,Kansas,32,43,22
03/01/2016,Wichita,Kansas,33,45,21
03/01/2016,Covington,Kentucky,33,39,27
03/01/2016,Jackson,Kentucky,37,45,28
03/01/2016,Lexington,Kentucky,35,42,27
03/01/2016,Louisville,Kentucky,38,45,31
03/01/2016,Paducah,Kentucky,36,47,25
03/01/2016,Baton Rouge,Louisiana,47,53,40
03/01/2016,Lake Charles,Louisiana,47,52,43
03/01/2016,New Orleans,Louisiana,50,54,46
03/01/2016,Shreveport,Louisiana,46,53,39
03/01/2016,Slidell,Louisiana,47,53,42
03/01/2016,Bangor,Maine,29,35,22
03/01/2016,Caribou,Maine,23,29,17
03/01/2016,Portland,Maine,34,39,28
03/01/2016,Baltimore,Maryland,37,48,26
03/01/2016,Salisbury,Maryland,38,48,28
03/01/2016,Boston,Massachusetts,37,41,31
03/01/2016,Milton,Massachusetts,60,60,60
03/01/2016,Worcester,Massachusetts,31,35,26
03/01/2016,Alpena,Michigan,27,32,21
03/01/2016,Detroit,Michigan,32,36,27
03/01/2016,Flint,Michigan,31,34,27
03/01/2016,Grand Rapids,Michigan,30,33,26
03/01/2016,Houghton Lake,Michigan,26,30,21
03/01/2016,Lansing,Michigan,29,32,25
03/01/2016,Marquette,Michigan,23,27,18
03/01/2016,Muskegon,Michigan,31,35,27
03/01/2016,Sault Ste Marie,Michigan,24,31,17
03/01/2016,Duluth,Minnesota,22,27,17
03/01/2016,International Falls,Minnesota,21,25,15
03/01/2016,Minneapolis,Minnesota,23,30,16
03/01/2016,Rochester,Minnesota,19,26,13
03/01/2016,St Cloud,Minnesota,20,29,10
03/01/2016,Greenville,Mississippi,42,48,35
03/01/2016,Greenwood,Mississippi,40,48,32
03/01/2016,Gulfport,Mississippi,47,52,42
03/01/2016,Hattiesburg,Mississippi,46,51,40
03/01/2016,Jackson,Mississippi,44,50,38
03/01/2016,Meridian,Mississippi,43,49,36
03/01/2016,Tupelo,Mississippi,40,50,31
03/01/2016,Cape Girardeau,Missouri,37,46,27
03/01/2016,Columbia,Missouri,33,41,24
03/01/2016,Kansas City,Missouri,29,38,20
03/01/2016,Rolla/Vichy,Missouri,33,41,24
03/01/2016,Springfield,Missouri,35,45,23
03/01/2016,St Joseph,Missouri,26,36,16
03/01/2016,St Louis,Missouri,36,43,29
03/01/2016,Billings,Montana,23,29,16
03/01/2016,Butte,Montana,0,13,-12
03/01/2016,Cut Bank,Montana,8,22,-6
03/01/2016,Dillon,Montana,7,16,-2
03/01/2016,Glasgow,Montana,8,18,-1
03/01/2016,Great Falls,Montana,17,27,7
03/01/2016,Havre,Montana,10,20,0
03/01/2016,Helena,Montana,3,12,-5
03/01/2016,Kalispell,Montana,6,16,-3
03/01/2016,Miles City,Montana,19,31,6
03/01/2016,Missoula,Montana,7,16,-2
03/01/2016,Grand Island,Nebraska,26,37,15
03/01/2016,Lincoln,Nebraska,26,36,16
03/01/2016,Norfolk,Nebraska,22,32,12
03/01/2016,North Platte,Nebraska,26,43,8
03/01/2016,Omaha,Nebraska,22,31,12
03/01/2016,Scottsbluff,Nebraska,18,31,5
03/01/2016,Sidney,Nebraska,21,33,8
03/01/2016,Valentine,Nebraska,20,34,7
03/01/2016,Ely,Nevada,7,22,-8
03/01/2016,Eureka,Nevada,12,24,-7
03/01/2016,Las Vegas,Nevada,44,52,35
03/01/2016,Mercury,Nevada,39,47,30
03/01/2016,Reno,Nevada,22,29,15
03/01/2016,Winnemucca,Nevada,12,25,-1
03/01/2016,Concord,New Hampshire,34,39,29
03/01/2016,Mt. Washington,New Hampshire,60,60,60
03/01/2016,Atlantic City,New Jersey,36,46,26
03/01/2016,Newark,New Jersey,37,44,30
03/01/2016,Albuquerque,New Mexico,31,38,23
03/01/2016,Clayton,New Mexico,31,46,15
03/01/2016,Roswell,New Mexico,27,36,17
03/01/2016,Albany,New York,33,38,28
03/01/2016,Binghamton,New York,25,30,21
03/01/2016,Buffalo,New York,29,34,23
03/01/2016,Glens Falls,New York,33,37,29
03/01/2016,Islip,New York,37,44,30
03/01/2016,New York,New York,40,43,35
03/01/2016,Rochester,New York,28,34,22
03/01/2016,Syracuse,New York,29,34,23
03/01/2016,Asheville,North Carolina,39,46,30
03/01/2016,Cape Hatteras,North Carolina,50,56,44
03/01/2016,Charlotte,North Carolina,43,53,33
03/01/2016,Greensboro,North Carolina,41,51,31
03/01/2016,Hickory,North Carolina,43,53,32
03/01/2016,Raleigh/Durham,North Carolina,43,52,35
03/01/2016,Wilmington,North Carolina,48,56,40
03/01/2016,Bismarck,North Dakota,21,30,12
03/01/2016,Dickinson,North Dakota,20,30,9
