sno,Date_Full,Station_City,Station_State,Data_Temperature_Avg_Temp,Data_Temperature_Max_Temp,Data_Temperature_Min_Temp
1,03/01/2016,Birmingham,Alabama,39,46,32
2,03/01/2016,Huntsville,Alabama,39,47,31
3,03/01/2016,Mobile,Alabama,46,51,41
4,03/01/2016,Montgomery,Alabama,45,52,38
5,03/01/2016,Anchorage,Alaska,34,38,29
6,03/01/2016,Annette,Alaska,38,44,31
7,03/01/2016,Bethel,Alaska,30,36,24
8,03/01/2016,Bettles,Alaska,22,32,9
9,03/01/2016,Cold Bay,Alaska,34,36,31
10,03/01/2016,Cordova,Alaska,38,43,33
11,03/01/2016,Delta Junction/Ft Greely,Alaska,31,39,23
12,03/01/2016,Fairbanks,Alaska,14,30,4
13,03/01/2016,Gulkana,Alaska,27,34,19
14,03/01/2016,Homer,Alaska,39,42,35
15,03/01/2016,Iliamna,Alaska,40,42,37
16,03/01/2016,Juneau,Alaska,36,40,31
17,03/01/2016,Kenai,Alaska,34,37,30
18,03/01/2016,Ketchikan,Alaska,37,41,33
19,03/01/2016,King Salmon,Alaska,39,42,35
20,03/01/2016,Kodiak,Alaska,40,42,36
21,03/01/2016,Kotzebue,Alaska,27,33,20
22,03/01/2016,Mc Grath,Alaska,30,39,20
23,03/01/2016,Nome,Alaska,29,32,25
24,03/01/2016,Northway,Alaska,0,8,-9
25,03/01/2016,Palmer,Alaska,37,42,32
26,03/01/2016,Petersburg,Alaska,60,60,60
27,03/01/2016,Puntilla Lake,Alaska,60,60,60
28,03/01/2016,Shemya,Alaska,60,60,60
29,03/01/2016,Sitka,Alaska,43,46,39
30,03/01/2016,Skagway,Alaska,38,42,33
31,03/01/2016,St Paul Island,Alaska,32,35,29
32,03/01/2016,Talkeetna,Alaska,32,39,23
33,03/01/2016,Tanana,Alaska,21,29,13
34,03/01/2016,Utqiagvik (Barrow),Alaska,6,9,2
35,03/01/2016,Yakutat,Alaska,36,40,32
36,03/01/2016,Douglas Bisbee,Arizona,41,57,24
37,03/01/2016,Kingman,Arizona,40,54,25
38,03/01/2016,Phoenix,Arizona,58,69,45
39,03/01/2016,Tucson,Arizona,56,69,43
40,03/01/2016,Winslow,Arizona,29,42,15
41,03/01/2016,Fort Smith,Arkansas,39,51,27
42,03/01/2016,Harrison,Arkansas,38,48,27
43,03/01/2016,North Little Rock,Arkansas,42,49,34
44,03/01/2016,Bakersfield,California,47,60,33
45,03/01/2016,Bishop,California,27,42,12
46,03/01/2016,China Lake,California,35,49,21
47,03/01/2016,Concord,California,44,51,37
48,03/01/2016,Eureka,California,44,53,33
49,03/01/2016,Fresno,California,46,55,36
50,03/01/2016,Hayward,California,47,53,41
51,03/01/2016,Long Beach,California,54,65,43
52,03/01/2016,Los Angeles,California,55,63,45
53,03/01/2016,Red Bluff,California,44,50,36
54,03/01/2016,Redding,California,45,51,38
55,03/01/2016,Sacramento,California,44,52,34
56,03/01/2016,Salinas,California,49,57,41
57,03/01/2016,San Diego,California,55,64,45
58,03/01/2016,San Francisco,California,46,51,41
59,03/01/2016,Sandberg,California,39,44,33
60,03/01/2016,Santa Barbara,California,51,62,39
61,03/01/2016,Santa Maria,California,51,63,37
62,03/01/2016,Stockton,California,42,51,33
63,03/01/2016,Alamosa,Colorado,14,33,-5
64,03/01/2016,Colorado Springs,Colorado,28,45,9
65,03/01/2016,Craig,Colorado,-10,3,-23
66,03/01/2016,Denver,Colorado,27,40,12
67,03/01/2016,Grand Junction,Colorado,14,24,4
68,03/01/2016,Pueblo,Colorado,26,47,4
69,03/01/2016,Bridgeport,Connecticut,38,43,32
70,03/01/2016,Windsor Locks,Connecticut,34,40,27
71,03/01/2016,Newark,DE,37,46,27
